d,n,p,g,n7,n7g,n7g6
2020-05-03,12,8932664,13262,44.4285714285714,0.92032012971838,0.940693859050818
2020-05-04,30,8932664,13413,38.7142857142857,0.939199696480464,0.947293634346317
2020-05-05,54,8932664,13537,39.4285714285714,0.954684194601498,0.959514494378115
2020-05-06,46,8932664,13656,37.2857142857143,0.972391153011711,0.970923371245501
2020-05-07,38,8932664,13775,35,0.987776961063673,0.985877228710868
2020-05-08,50,8932664,13942,36.8571428571429,1.01106444349533,1.00008518976199
2020-05-09,30,8932664,14016,37.1428571428572,1.03794332378092,1.01311201463797
2020-05-10,15,8932664,14073,37.5714285714286,1.04016643994665,1.0225047272015
2020-05-11,66,8932664,14166,42.7142857142857,1.0293739386618,1.02544657137502
2020-05-12,38,8932664,14257,40.4285714285714,1.01875896191651,1.02676834001128
2020-05-13,52,8932664,14333,41.2857142857143,1.0333141980624,1.02907961841972
2020-05-14,54,8932664,14409,43.5714285714286,1.04734011796121,1.02638634541057
2020-05-15,81,8932664,14479,48,1.03123268965595,1.019499377979
2020-05-16,15,8932664,14532,45.8571428571429,1.007766101629,1.00795095722652
2020-05-17,26,8932664,14557,47.4285714285714,1.00655083850516,0.997677083028054
2020-05-18,58,8932664,14608,46.2857142857143,1.00866258218905,0.990332504753945
2020-05-19,60,8932664,14677,49.4285714285714,0.984916179296249,0.978042258404469
2020-05-20,30,8932664,14728,46.2857142857143,0.938233281301002,0.96240154115134
2020-05-21,32,8932664,14784,43.1428571428572,0.912307254574341,0.952464513148072
2020-05-22,28,8932664,14835,35.5714285714286,0.938083151964686,0.948748216237791
2020-05-23,24,8932664,14882,36.8571428571429,0.963486663788295,0.949755577926576
2020-05-24,31,8932664,14921,37.5714285714286,0.943191597508369,0.951174471139732
2020-05-25,25,8932664,14979,32.8571428571429,0.918807772624912,0.951349462189551
2020-05-26,22,8932664,15065,27.4285714285714,0.938238760019495,0.959768959083489
2020-05-27,50,8932664,15141,30.2857142857143,0.992082219041113,0.968967650886774
2020-05-28,19,8932664,15222,28.4285714285714,1.02457368879993,0.976048993591867
2020-05-29,42,8932664,15279,30.4285714285714,1.0039984165888,0.977975728116298
2020-05-30,32,8932664,15311,31.5714285714286,0.977632953992968,0.981400286944305
2020-05-31,5,8932664,15346,27.8571428571429,0.94943711882742,0.987291084614443
2020-06-01,19,8932664,15376,27,0.960371828817764,0.995971850217896
2020-06-02,16,8932664,15445,26.1428571428571,0.98757715747951,1.00223021014446
